"city","weather","visibility","temp","temp_min","temp_max","pressure","humidity","wind_speed","wind_deg","forecast_datetime","season"
"Seoul","Clear",10000,30.08,30.08,30.65,1011,66,1.96,82,1659139200,"Summer"
"Seoul","Clouds",10000,31.74,31.74,35.07,1011,58,2.98,110,1659150000,"Summer"
"Seoul","Clouds",10000,34.19,34.19,36.25,1009,48,2.45,123,1659160800,"Summer"
"Seoul","Rain",10000,28.94,28.94,28.94,1009,74,2.43,198,1659171600,"Summer"
"Seoul","Rain",10000,27.66,27.66,27.66,1010,80,1.4,50,1659182400,"Summer"
"Seoul","Clouds",10000,26.85,26.85,26.85,1009,82,1.59,77,1659193200,"Summer"
"Seoul","Clouds",10000,26.19,26.19,26.19,1008,85,1.72,79,1659204000,"Summer"
"Seoul","Rain",10000,25.67,25.67,25.67,1009,87,1.37,86,1659214800,"Summer"
"Seoul","Rain",10000,24.84,24.84,24.84,1009,94,1.96,61,1659225600,"Summer"
"Seoul","Rain",10000,25.3,25.3,25.3,1008,93,2.22,44,1659236400,"Summer"
"Seoul","Rain",10000,27.84,27.84,27.84,1006,79,2.42,71,1659247200,"Summer"
"Seoul","Rain",8506,25.72,25.72,25.72,1006,90,3.31,115,1659258000,"Summer"
"Seoul","Rain",10000,25.5,25.5,25.5,1006,88,4.21,110,1659268800,"Summer"
"Seoul","Rain",10000,25.17,25.17,25.17,1006,88,4.31,126,1659279600,"Summer"
"Seoul","Rain",10000,25.48,25.48,25.48,1005,85,3.7,125,1659290400,"Summer"
"Seoul","Clouds",10000,25.73,25.73,25.73,1005,79,4.23,122,1659301200,"Summer"
"Seoul","Rain",10000,26.23,26.23,26.23,1005,79,4.82,125,1659312000,"Summer"
"Seoul","Clouds",10000,32.19,32.19,32.19,1005,56,6.89,140,1659322800,"Summer"
"Seoul","Clouds",10000,32.47,32.47,32.47,1004,57,6.64,142,1659333600,"Summer"
"Seoul","Clouds",10000,30.54,30.54,30.54,1003,66,6.33,131,1659344400,"Summer"
"Seoul","Rain",10000,27.17,27.17,27.17,1005,82,5.16,139,1659355200,"Summer"
"Seoul","Rain",10000,26.38,26.38,26.38,1007,91,1.88,148,1659366000,"Summer"
"Seoul","Rain",10000,26.13,26.13,26.13,1007,92,2.15,149,1659376800,"Summer"
"Seoul","Rain",10000,25.79,25.79,25.79,1008,91,1.8,143,1659387600,"Summer"
"Seoul","Rain",10000,28.1,28.1,28.1,1009,79,3.7,179,1659398400,"Summer"
"Seoul","Rain",10000,29.06,29.06,29.06,1009,78,4.54,199,1659409200,"Summer"
"Seoul","Rain",10000,30.64,30.64,30.64,1008,66,5.91,217,1659420000,"Summer"
"Seoul","Rain",10000,29.29,29.29,29.29,1009,70,4.96,222,1659430800,"Summer"
"Seoul","Clouds",10000,26.88,26.88,26.88,1011,84,2.72,198,1659441600,"Summer"
"Seoul","Rain",10000,25.85,25.85,25.85,1011,91,2.23,189,1659452400,"Summer"
"Seoul","Rain",10000,24.92,24.92,24.92,1011,96,1.84,195,1659463200,"Summer"
"Seoul","Rain",10000,24.56,24.56,24.56,1012,98,1.32,162,1659474000,"Summer"
"Seoul","Rain",10000,28.05,28.05,28.05,1012,82,2.08,223,1659484800,"Summer"
"Seoul","Rain",10000,31.37,31.37,31.37,1012,60,4.21,243,1659495600,"Summer"
"Seoul","Clouds",10000,30.99,30.99,30.99,1011,63,5.02,243,1659506400,"Summer"
"Seoul","Clouds",10000,29.1,29.1,29.1,1011,71,4.46,251,1659517200,"Summer"
"Seoul","Clouds",10000,26.93,26.93,26.93,1012,85,2.18,250,1659528000,"Summer"
"Seoul","Rain",10000,25.77,25.77,25.77,1012,93,2.23,250,1659538800,"Summer"
"Seoul","Rain",10000,25.18,25.18,25.18,1012,96,1.68,245,1659549600,"Summer"
"Seoul","Rain",10000,24.78,24.78,24.78,1012,97,1.3,232,1659560400,"Summer"
"Washington, D.C.","Clear",10000,39.92,39.92,40.16,1006,14,5.14,304,1659139200,"Summer"
"Washington, D.C.","Clear",10000,37.25,31.92,37.25,1006,17,3.45,315,1659150000,"Summer"
"Washington, D.C.","Clear",10000,29.05,23.61,29.05,1009,30,3.02,288,1659160800,"Summer"
"Washington, D.C.","Clear",10000,21.82,21.82,21.82,1010,39,2.41,293,1659171600,"Summer"
"Washington, D.C.","Clear",10000,20.5,20.5,20.5,1011,37,2.48,289,1659182400,"Summer"
"Washington, D.C.","Clear",10000,27.24,27.24,27.24,1011,30,1.96,323,1659193200,"Summer"
"Washington, D.C.","Clear",10000,35.73,35.73,35.73,1009,14,2.01,28,1659204000,"Summer"
"Washington, D.C.","Clear",10000,40.84,40.84,40.84,1007,7,1.21,281,1659214800,"Summer"
"Washington, D.C.","Clear",10000,39.45,39.45,39.45,1006,7,4.49,282,1659225600,"Summer"
"Washington, D.C.","Clear",10000,29.95,29.95,29.95,1008,18,2.57,283,1659236400,"Summer"
"Washington, D.C.","Clear",10000,21.34,21.34,21.34,1010,34,3.05,276,1659247200,"Summer"
"Washington, D.C.","Clear",10000,19.06,19.06,19.06,1011,36,2.94,282,1659258000,"Summer"
"Washington, D.C.","Clear",10000,17.98,17.98,17.98,1011,35,2.6,285,1659268800,"Summer"
"Washington, D.C.","Clear",10000,26.21,26.21,26.21,1011,29,1.7,317,1659279600,"Summer"
